step,q_j1,q_j7,flow_ew,flow_ns,ambulance_active,co2_j1,co2_j7,cars_j1,cars_j7,tot_car,tot_amb,tot_bus,tot_ped,tot_truck,tot_triggers
1520,1,9,3,0,0,6958381.24887217,7092719.978295344,260,271,529,5,148,60,61,7
1530,5,11,1,0,0,7010251.064935177,7253149.365090942,263,274,535,5,150,60,61,7
1540,6,2,1,1,0,7103202.179076063,7326031.989559088,266,276,541,5,152,60,61,7
1550,2,0,0,2,0,7227889.533257296,7372379.054162124,266,277,542,5,153,60,61,7
1560,5,0,0,1,0,7277107.966170352,7377090.054162124,268,279,543,5,156,60,63,7
1570,0,0,0,2,0,7298847.818626597,7381653.054162124,270,282,549,5,156,60,64,7
1580,0,1,0,0,0,7325511.560444428,7386216.054162124,273,285,555,5,157,60,64,7
1590,0,3,1,0,0,7327032.560444428,7410028.6244218815,274,286,558,5,157,60,64,7
1600,1,4,4,0,0,7337204.837520694,7472245.323012405,275,288,561,5,158,60,64,7
1610,2,6,1,0,0,7377153.793039206,7550677.340846283,277,289,561,5,161,61,65,7
1620,4,9,0,0,0,7458194.935343144,7670398.871641534,278,291,565,5,164,63,65,7
1630,5,0,1,3,0,7571680.644678609,7711351.442845326,279,291,566,5,164,63,65,7
1640,0,0,0,0,0,7685672.352053499,7718689.442845326,280,295,570,5,166,63,66,7
1650,1,0,0,1,0,7688714.352053499,7723252.442845326,282,298,577,5,167,63,66,7
1660,1,0,0,0,0,7702235.055629232,7726294.442845326,284,300,582,5,167,63,66,7
1670,0,1,1,0,0,7714136.055629232,7733561.731237246,285,303,584,5,169,63,66,7
1680,1,4,0,0,0,7719686.055629232,7776092.659189864,287,306,589,5,171,64,66,7
1690,2,7,2,0,0,7749468.194278196,7869428.079486502,287,308,592,5,171,64,66,7
1700,2,9,0,0,0,7804966.1403531,8008126.969199177,287,311,594,5,171,64,67,7
1710,3,11,0,0,0,7863328.409089962,8186586.857680402,288,312,596,5,172,64,67,7
1720,3,3,1,0,0,7934029.00207265,8259071.08445882,288,316,603,5,172,64,68,7
1730,0,1,0,2,0,7995308.00207265,8279952.082183279,289,317,604,5,173,64,69,7
1740,1,0,3,1,0,8008196.00207265,8284930.082183279,294,319,608,5,176,64,70,7
1750,4,0,0,0,0,8027953.967244689,8286451.082183279,298,320,616,5,176,64,70,7
1760,0,0,0,0,0,8049217.176778024,8286451.082183279,300,320,620,5,177,65,70,7
1770,0,2,2,0,0,8055789.04584231,8293499.223572578,302,323,624,5,178,65,70,7
1780,5,3,4,0,0,8083922.613033261,8320011.539573469,306,325,630,5,179,66,71,7
1790,7,6,2,0,0,8165711.756749593,8400693.92397022,307,326,631,5,180,66,71,7
1800,8,7,0,0,0,8309226.92951617,8509474.20340456,308,327,634,5,181,66,71,7
1810,11,0,0,2,0,8476556.284894267,8545497.433826283,312,327,639,5,182,66,71,7
1820,6,0,0,0,0,8677076.31023364,8545497.433826283,313,327,640,5,183,66,71,7
1830,1,0,1,0,0,8691280.568927977,8547018.433826283,316,328,642,5,186,67,71,7
1840,1,0,1,1,0,8697097.568927977,8548539.433826283,319,329,647,5,189,67,71,7
1850,0,0,0,0,0,8700139.568927977,8552835.433826283,321,331,652,5,190,67,71,7
1860,1,4,0,0,0,8706223.568927977,8582232.260774625,325,333,658,5,190,67,71,7
1870,4,1,2,0,1,8728528.320489267,8642287.409841802,326,334,661,6,190,67,72,8
1880,4,1,1,1,0,8777379.578393182,8653921.409841802,326,340,665,6,192,67,72,8
1890,5,0,2,1,0,8842726.551404651,8655857.409841802,328,341,667,6,192,67,73,8
1900,6,0,0,0,0,8931085.407469776,8660153.409841802,330,343,669,6,193,68,74,8
1910,5,0,1,0,0,9048590.285201944,8663195.409841802,332,345,678,6,193,69,74,8
1920,0,2,3,0,0,9056190.20918641,8683716.404100506,333,346,680,6,193,69,74,8
1930,0,3,2,0,0,9057711.20918641,8719975.661619568,334,346,682,6,193,69,74,8
1940,0,4,0,0,0,9059232.20918641,8776906.307133323,335,349,684,6,196,69,74,8
1950,0,7,0,0,0,9064782.20918641,8861912.837788772,337,353,687,6,199,69,76,8
1960,2,4,3,0,0,9075025.118887834,9009422.751971452,341,355,694,6,200,69,77,8
1970,5,4,0,1,1,9156846.817100378,9066524.632588053,341,355,694,7,200,69,77,9
1980,5,6,0,0,1,9263647.817067718,9126232.549248964,342,357,697,7,201,69,77,9
1990,6,5,1,0,0,9381018.919767458,9218904.755767057,343,357,699,7,201,70,77,9
2000,1,6,0,0,0,9497749.492174964,9324156.45623439,346,358,702,7,202,71,78,9
2010,1,8,0,0,0,9503461.403844351,9444120.611883959,347,360,704,7,203,73,80,9
2020,1,5,0,2,0,9520590.344758358,9528856.162861496,348,361,706,7,203,73,81,9
2030,0,5,0,1,0,9528610.344758358,9612513.162861496,349,363,707,7,203,73,83,9
2040,0,5,0,1,0,9533173.344758358,9695755.162861496,352,365,713,7,203,74,83,9
2050,1,1,2,0,0,9540681.592123477,9718819.151763126,352,367,715,7,205,74,83,9
2060,2,1,0,0,0,9560187.592123477,9732979.829359354,354,370,721,7,206,75,84,9
2070,4,6,5,0,0,9602276.501639793,9817947.110429058,355,372,725,7,206,76,84,9
2080,5,6,0,0,0,9678670.12137067,9919700.77694754,357,374,731,7,206,77,84,9
2090,1,9,0,0,0,9755101.825083058,10053507.268111378,358,375,733,7,207,77,84,9
2100,2,9,0,0,0,9765339.337283172,10208594.461205097,361,376,738,7,208,77,84,9
2110,0,4,0,1,0,9780546.73841085,10292075.096733443,363,379,746,7,208,77,85,9
2120,0,0,1,0,0,9784842.73841085,10347802.97652516,365,381,751,7,209,77,85,9
2130,0,0,1,0,0,9791913.73841085,10368638.066170095,368,387,759,7,212,77,85,9
2140,2,0,4,1,0,9806353.563653255,10374722.066170095,370,391,764,7,213,77,86,9
2150,4,2,2,0,0,9855002.130069228,10383523.745341545,372,395,771,7,214,78,86,9
2160,5,4,2,0,0,9950517.838538157,10425689.61918315,373,395,771,7,215,78,86,9
2170,6,5,0,0,0,10077121.018014098,10506538.10154571,373,397,773,7,215,78,86,9
2180,1,6,0,0,0,10195179.018014098,10611032.530130748,375,399,776,7,215,78,87,9
2190,1,9,0,0,0,10208421.982949086,10730868.881548628,377,400,779,7,217,78,87,9
2200,0,1,3,3,0,10212984.982949086,10774167.878096795,378,403,784,7,217,78,88,9
2210,0,0,1,1,0,10217962.982949086,10779984.878096795,381,406,789,7,218,78,89,9
2220,0,0,0,0,0,10217962.982949086,10785801.878096795,381,409,791,7,219,79,89,9
2230,0,0,2,1,0,10219483.982949086,10788843.878096795,382,411,795,7,220,79,89,9
2240,1,0,0,0,0,10228527.765347963,10788843.878096795,383,411,797,7,220,79,89,9
2250,3,1,4,0,0,10254727.701576483,10793074.981085895,385,413,802,7,220,80,90,9
2260,6,3,1,0,0,10305950.652506977,10820326.122274844,388,414,806,7,223,80,90,9
2270,1,3,0,0,0,10412237.560476322,10867889.95447008,389,415,809,7,223,80,91,9
2280,0,0,0,1,1,10420672.560476322,10878964.95447008,394,416,812,8,223,80,93,10
